"setting_id","truth_type","reader_miss","z_miss","replicate","method","auc","brier","x_cor","x_rmse","cx_mae"
"S3","misspecified",0.1,0,14,"Reader-1 logistic",0.668571428571428,0.227504034567217,NA,NA,NA
"S3","misspecified",0.1,0,15,"Bayesian joint model",0.921766589574808,0.156931505641143,0.69943900677502,0.686149971471433,0.0537309880767625
"S3","misspecified",0.1,0,15,"Averaged-reader logistic",0.673367728162248,0.227715654414451,NA,NA,NA
"S3","misspecified",0.1,0,15,"Reader-1 logistic",0.662471090553283,0.22913356243457,NA,NA,NA
"S3","misspecified",0.1,0,16,"Bayesian joint model",0.871898801835108,0.174442051976495,0.619952636362686,0.795130458067894,0.190152150701886
"S3","misspecified",0.1,0,16,"Averaged-reader logistic",0.669279764821167,0.227657482426079,NA,NA,NA
"S3","misspecified",0.1,0,16,"Reader-1 logistic",0.656496369872166,0.229297198382408,NA,NA,NA
"S3","misspecified",0.1,0,17,"Bayesian joint model",0.786947575594919,0.20615264293085,0.61745645530041,0.81512905265216,0.160254398636358
"S3","misspecified",0.1,0,17,"Averaged-reader logistic",0.641170155662909,0.235275823960289,NA,NA,NA
"S3","misspecified",0.1,0,17,"Reader-1 logistic",0.640499194847021,0.237355721237826,NA,NA,NA
"S3","misspecified",0.1,0,18,"Bayesian joint model",0.976874217212383,0.125834533362257,0.552218605712935,0.822672991944483,0.210481015191869
"S3","misspecified",0.1,0,18,"Averaged-reader logistic",0.685006262300948,0.22408864032973,NA,NA,NA
"S3","misspecified",0.1,0,18,"Reader-1 logistic",0.667427088924674,0.229869361719541,NA,NA,NA
"S3","misspecified",0.1,0,19,"Bayesian joint model",0.991245791245791,0.115494877896277,0.498094835295189,0.864421147980634,0.158117786586844
"S3","misspecified",0.1,0,19,"Averaged-reader logistic",0.660246913580247,0.227259740942968,NA,NA,NA
"S3","misspecified",0.1,0,19,"Reader-1 logistic",0.674523007856341,0.225076850948227,NA,NA,NA
"S3","misspecified",0.1,0,20,"Bayesian joint model",0.807196228429104,0.183636381728451,0.629912600288204,0.770963685959104,0.185926939663125
"S3","misspecified",0.1,0,20,"Averaged-reader logistic",0.724737591175948,0.211613742506001,NA,NA,NA
"S3","misspecified",0.1,0,20,"Reader-1 logistic",0.7326543319694,0.20956530287533,NA,NA,NA
"S4","misspecified",0.3,0.2,1,"Bayesian joint model",0.874082313681868,0.181664832894756,0.596544879479361,0.777577145148108,0.0873422444106563
"S4","misspecified",0.3,0.2,1,"Averaged-reader logistic",0.6425361512792,0.234874851713234,NA,NA,NA
"S4","misspecified",0.3,0.2,1,"Reader-1 logistic",0.641312569521692,0.233450922222566,NA,NA,NA
"S4","misspecified",0.3,0.2,2,"Bayesian joint model",0.951610033801813,0.17100858223781,0.476512025104827,0.874571519178573,0.129411015623308
"S4","misspecified",0.3,0.2,2,"Averaged-reader logistic",0.602250489236791,0.240393393941388,NA,NA,NA
"S4","misspecified",0.3,0.2,2,"Reader-1 logistic",0.60451876890233,0.242066101620645,NA,NA,NA
"S4","misspecified",0.3,0.2,3,"Bayesian joint model",0.970156555772993,0.120624840160971,0.541077788081713,0.838146730594322,0.035604930648243
"S4","misspecified",0.3,0.2,3,"Averaged-reader logistic",0.692136630492795,0.223000698336778,NA,NA,NA
"S4","misspecified",0.3,0.2,3,"Reader-1 logistic",0.699919943070629,0.220440554055102,NA,NA,NA
"S4","misspecified",0.3,0.2,4,"Bayesian joint model",0.986607341490544,0.142558567912921,0.579423606232811,0.780964875470561,0.125780961377753
"S4","misspecified",0.3,0.2,4,"Averaged-reader logistic",0.618375973303672,0.237033155966986,NA,NA,NA
